maturity,LINEAR_ZERO_RATES_zero_rate,LINEAR_ZERO_RATES_forward_rate,LOG_LINEAR_DISCOUNT_FACTORS_zero_rate,LOG_LINEAR_DISCOUNT_FACTORS_forward_rate,LINEAR_DISCOUNT_FACTORS_zero_rate,LINEAR_DISCOUNT_FACTORS_forward_rate
0.25,0.02200000,0.02206061,0.02200000,0.02206061,0.02181917,0.02187878
0.50,0.02200000,0.02206061,0.02200000,0.02206061,0.02187900,0.02199911
0.75,0.02200000,0.02206061,0.02200000,0.02206061,0.02193928,0.02212077
1.00,0.02200000,0.02206061,0.02200000,0.02206061,0.02200000,0.02224378
1.25,0.02325000,0.02834999,0.02400000,0.03212834,0.02392361,0.03174334
1.50,0.02450000,0.03086850,0.02533333,0.03212834,0.02524800,0.03199727
1.75,0.02575000,0.03338858,0.02628571,0.03212834,0.02623057,0.03225529
2.00,0.02700000,0.03591023,0.02700000,0.03212834,0.02700000,0.03251751
2.25,0.02800000,0.03616249,0.02833333,0.03919074,0.02827037,0.03861857
2.50,0.02900000,0.03818107,0.02940000,0.03919074,0.02932395,0.03899506
2.75,0.03000000,0.04020067,0.03027273,0.03919074,0.03022054,0.03937895
3.00,0.03100000,0.04222127,0.03100000,0.03919074,0.03100000,0.03977048
3.25,0.03137500,0.03603636,0.03157692,0.03868588,0.03147906,0.03740155
3.50,0.03175000,0.03679319,0.03207143,0.03868588,0.03191466,0.03775457
3.75,0.03212500,0.03755016,0.03250000,0.03868588,0.03231594,0.03811432
4.00,0.03250000,0.03830727,0.03287500,0.03868588,0.03268976,0.03848099
4.25,0.03287500,0.03906452,0.03320588,0.03868588,0.03304138,0.03885478
4.50,0.03325000,0.03982192,0.03350000,0.03868588,0.03337490,0.03923591
4.75,0.03362500,0.04057945,0.03376316,0.03868588,0.03369357,0.03962458
5.00,0.03400000,0.04133713,0.03400000,0.03868588,0.03400000,0.04002104
5.25,0.03387500,0.03149837,0.03383333,0.03061658,0.03379516,0.02980888
5.50,0.03375000,0.03124641,0.03368182,0.03061658,0.03361904,0.03003269
5.75,0.03362500,0.03099447,0.03354348,0.03061658,0.03346804,0.03025989
6.00,0.03350000,0.03074254,0.03341667,0.03061658,0.03333916,0.03049055
6.25,0.03337500,0.03049062,0.03330000,0.03061658,0.03322989,0.03072475
6.50,0.03325000,0.03023872,0.03319231,0.03061658,0.03313810,0.03096258
6.75,0.03312500,0.02998684,0.03309259,0.03061658,0.03306198,0.03120412
7.00,0.03300000,0.02973498,0.03300000,0.03061658,0.03300000,0.03144946
7.25,0.03325000,0.04045319,0.03334483,0.04323196,0.03326024,0.04075303
7.50,0.03350000,0.04095828,0.03366667,0.04323196,0.03351696,0.04117250
7.75,0.03375000,0.04146343,0.03396774,0.04323196,0.03377080,0.04160070
8.00,0.03400000,0.04196864,0.03425000,0.04323196,0.03402229,0.04203791
8.25,0.03425000,0.04247392,0.03451515,0.04323196,0.03427193,0.04248439
8.50,0.03450000,0.04297926,0.03476471,0.04323196,0.03452015,0.04294047
8.75,0.03475000,0.04348467,0.03500000,0.04323196,0.03476737,0.04340644
9.00,0.03500000,0.04399013,0.03522222,0.04323196,0.03501393,0.04388264
9.25,0.03525000,0.04449566,0.03543243,0.04323196,0.03526018,0.04436940
9.50,0.03550000,0.04500126,0.03563158,0.04323196,0.03550642,0.04486708
9.75,0.03575000,0.04550691,0.03582051,0.04323196,0.03575294,0.04537606
10.00,0.03600000,0.04601263,0.03600000,0.04323196,0.03600000,0.04589671
